hum,tgt
PAIP2,Paip2
PDZD11,Pdzd11
TMEM69,Tmem69
MTRES1,Mtres1
NT5C3A,Nt5c3a
FAM178B,Fam178b
MRPL37,Mrpl37
RNF181,Rnf181
TBC1D7,Tbc1d7
MARCHF2,Marchf2
MRPL51,Mrpl51
TMEM216,Tmem216
PBDC1,Pbdc1
MRPL30,Mrpl30
MRPL27,Mrpl27
CDKL3,Cdkl3
CLEC1B,Clec1b
CLEC1A,Clec1a
PIPOX,Pipox
UBAP1,Ubap1
BET1L,Bet1l
KLF3,Klf3
DNAJC27,Dnajc27
IER5,Ier5
C1RL,C1rl
GOLM1,Golm1
ANKMY1,Ankmy1
SCAND1,Scand1
BFAR,Bfar
TLR7,Tlr7
RASL12,Rasl12
CEND1,Cend1
COA4,Coa4
RXFP3,Rxfp3
ERGIC2,Ergic2
GMIP,Gmip
GMPR2,Gmpr2
CD320,Cd320
PCDH12,Pcdh12
ECSIT,Ecsit
SLC15A3,Slc15a3
BPIFA1,Bpifa1
SPMAP2,Spmap2
NRN1,Nrn1
TIMMDC1,Timmdc1
GCNT4,Gcnt4
CYP39A1,Cyp39a1
FKBP11,Fkbp11
ZDHHC3,Zdhhc3
KCNK9,Kcnk9
FAM13B,Fam13b
FAM53C,Fam53c
REEP2,Reep2
ARMCX1,Armcx1
SLC22A17,Slc22a17
TLR8,Tlr8
SLC25A37,Slc25a37
GASK1B,Gask1b
NME8,Nme8
KRCC1,Krcc1
PLAC8,Plac8
PHF21A,Phf21a
MRPL35,Mrpl35
RSRC1,Rsrc1
MEX3C,Mex3c
AMZ2,Amz2
WAC,Wac
SPG21,Spg21
AHSP,Ahsp
ARL6IP4,Arl6ip4
TNFRSF12A,Tnfrsf12a
SPTBN5,Sptbn5
ZNF771,Zfp771
PRR16,Prr16
NGRN,Ngrn
THEM6,Them6
DACT1,Dact1
CRNKL1,Crnkl1
ZBTB7A,Zbtb7a
FZR1,Fzr1
TAOK3,Taok3
MBTPS2,Mbtps2
HOOK1,Hook1
CDC40,Cdc40
CHST15,Chst15
ZMYND10,Zmynd10
PLA1A,Pla1a
UBR5,Ubr5
POP5,Pop5
TEX264,Tex264
POMP,Pomp
TMA7,Tma7
MRPS17,Mrps17
ATRAID,Atraid
SNX7,Snx7
UCHL5,Uchl5
ANGPT4,Angpt4
CRLF3,Crlf3
CSAD,Csad
ATP6V1D,Atp6v1d
WNT16,Wnt16
EIF3L,Eif3l
NIP7,Nip7
RWDD1,Rwdd1
AIG1,Aig1
TRPV2,Trpv2
COMMD10,Commd10
WDR83OS,Wdr83os
TRAPPC4,Trappc4
PPME1,Ppme1
NOL7,Nol7
HEMK1,Hemk1
BIN2,Bin2
ACTL6B,Actl6b
AMOTL2,Amotl2
PRKAG2,Prkag2
POLK,Polk
DDX41,Ddx41
SNX9,Snx9
SUCO,Suco
ANAPC5,Anapc5
ANAPC7,Anapc7
SCARA3,Scara3
FAM8A1,Fam8a1
HPCAL4,Hpcal4
YTHDF2,Ythdf2
VGLL1,Vgll1
RNF138,Rnf138
IP6K2,Ip6k2
PCYOX1,Pcyox1
PRRX2,Prrx2
LCMT1,Lcmt1
GULP1,Gulp1
REV1,Rev1
RHCG,Rhcg
SFMBT1,Sfmbt1
UBE2J1,Ube2j1
EVL,Evl
DCDC2,Dcdc2
LIMA1,Lima1
ISYNA1,Isyna1
HSD17B7,Hsd17b7
ANKFY1,Ankfy1
SPOUT1,Spout1
NOP16,Nop16
RTCB,Rtcb
HACD3,Hacd3
CTDSPL2,Ctdspl2
NELFCD,Nelfcd
TRIAP1,Triap1
HIKESHI,Hikeshi
CWC15,Cwc15
TRMT112,Trmt112
UFC1,Ufc1
RTF2,Rtfdc1
CHMP5,Chmp5
GTSE1,Gtse1
DTL,Dtl
NCKIPSD,Nckipsd
LARS1,Lars1
TMEM14C,Tmem14c
CXXC5,Cxxc5
TMEM138,Tmem138
OSER1,Oser1
GSKIP,Gskip
JKAMP,Jkamp
ANAPC11,Anapc11
ZC3HC1,Zc3hc1
TRMO,Trmo
PHF7,Phf7
VTA1,Vta1
PPHLN1,Pphln1
MTFP1,Mtfp1
ZCCHC17,Zcchc17
SCLY,Scly
VPS54,Vps54
SIRT7,Sirt7
SIRT6,Sirt6
CINP,Cinp
RAB14,Rab14
ACKR4,Ackr4
PEX5L,Pex5l
LGSN,Lgsn
NT5DC3,Nt5dc3
RAB6B,Rab6b
IL23A,Il23a
MBIP,Mbip
HDAC7,Hdac7
ARMCX3,Armcx3
TDP2,Tdp2
UFM1,Ufm1
CYRIB,Cyrib
GDE1,Gde1
LARP7,Larp7
ESF1,Esf1
AZIN1,Azin1
PCF11,Pcf11
MED15,Med15
PIAS4,Pias4
TRIM33,Trim33
SRRT,Srrt
NBAS,Nbas
CUTA,Cuta
LSR,Lsr
LIPT1,Lipt1
NOP58,Nop58
METTL13,Mettl13
PIGT,Pigt
TRMT6,Trmt6
ATP6V1H,Atp6v1h
GET4,Get4
DPH5,Dph5
ERGIC3,Ergic3
TAF9B,Taf9b
NSG2,Nsg2
KLF13,Klf13
CCZ1,Ccz1
DYNC2LI1,Dync2li1
SLC25A39,Slc25a39
LUC7L2,Luc7l2
OTUD6B,Otud6b
RBMX2,Rbmx2
DHRS7,Dhrs7
RTRAF,Rtraf
SF3B6,Sf3b6
MRPL48,Mrpl48
TMBIM4,Tmbim4
PPIL1,Ppil1
YPEL5,Ypel5
CIAO2B,Ciao2b
MRPS23,Mrps23
MRPS33,Mrps33
PTRH2,Ptrh2
CHMP3,Chmp3
CDK5RAP1,Cdk5rap1
RASD1,Rasd1
STYXL1,Styxl1
GINS2,Gins2
MPC1,Mpc1
FKBP7,Fkbp7
ZFR,Zfr
ASB1,Asb1
ASB4,Asb4
NUB1,Nub1
IFT25,Ift25
SARAF,Saraf
TPPP3,Tppp3
ASB2,Asb2
PALS2,Pals2
SUFU,Sufu
OAZ3,Oaz3
LSM7,Lsm7
LSM8,Lsm8
CPSF3,Cpsf3
TRAPPC2L,Trappc2l
HECA,Heca
VPS29,Vps29
CYB5R2,Cyb5r2
NLK,Nlk
PADI3,Padi3
ACSL5,Acsl5
GPRC5B,Gprc5b
EMCN,Emcn
CYB5R1,Cyb5r1
SELENOT,Selenot
RAB23,Rab23
CAB39,Cab39
UIMC1,Uimc1
FBXO40,Fbxo40
DNAJB11,Dnajb11
CMPK1,Cmpk1
POLR3K,Polr3k
WBP11,Wbp11
UPB1,Upb1
MSRB1,Msrb1
RAPGEF6,Rapgef6
GHRL,Ghrl
WWOX,Wwox
ARID4B,Arid4b
CD244,Cd244
LUC7L3,Luc7l3
RTEL1,Rtel1
HIGD1B,Higd1b
ERAP1,Erap1
TMEM8B,Tmem8b
CDK12,Cdk12
C9orf78,C3h9orf78
SYT17,Syt17
ATP8A2,Atp8a2
RAB8B,Rab8b
INPP5K,Inpp5k
GNG13,Gng13
STK26,Stk26
TM7SF3,Tm7sf3
RSF1,Rsf1
MAP3K20,Map3k20
MYOZ2,Myoz2
KDM3B,Kdm3b
ASIC5,Asic5
SIX4,Six4
COQ3,Coq3
CALML5,Calml5
TUBA8,Tuba8
PHAX,Phax
GALNT7,Galnt7
BCL11A,Bcl11a
BTBD1,Btbd1
SPA17,Spa17
IL17D,Il17d
NUDT9,Nudt9
CHIC1,Chic1
TM6SF2,Tm6sf2
TM6SF1,Tm6sf1
UBASH3A,Ubash3a
ZFYVE1,Zfyve1
LRP1B,Lrp1b
PANK1,Pank1
SHC3,Shc3
NUP54,Nup54
TPCN1,Tpcn1
CLIC5,Clic5
STX18,Stx18
MBD3,Mbd3
ADAM22,Adam22
BCO1,Bco1
PRKAG3,Prkag3
PTOV1,Ptov1
S1PR5,S1pr5
RIPPLY3,Ripply3
FXYD7,Fxyd7
FXYD6,Fxyd6
FXYD5,Fxyd5
FXYD4,Fxyd4
P2RY13,P2ry13
GPR84,Gpr84
IL20RA,Il20ra
IL20RB,Il20rb
FGFRL1,Fgfrl1
GPR87,Gpr87
C11orf24,C1h11orf24
TRIM34,Trim34
CDHR5,Cdhr5
MYO3A,Myo3a
DUOX1,Duox1
RAB4B,Rab4b
RAB24,Rab24
PELO,Pelo
SLCO1C1,Slco1c1
PPIL3,Ppil3
CNTN5,Cntn5
CSNK1G1,Csnk1g1
A4GALT,A4galt
CPSF2,Cpsf2
BRWD1,Brwd1
SLC37A1,Slc37a1
RBM11,Rbm11
PCBP3,Pcbp3
C21orf58,C20h21orf58
YBEY,Ybey
SMIM11,Smim11
MIS18A,Mis18a
TSPEAR,Tspear
SETD4,Setd4
FAM3B,Fam3b
RIPK4,Ripk4
CLIC6,Clic6
GSAP,Gsap
TLR9,Tlr9
POLE3,Pole3
CHRAC1,Chrac1
GPR88,Gpr88
MRPL39,Mrpl39
C21orf91,C11h21orf91
DCUN1D1,Dcun1d1
NANS,Nans
CYCS,Cycs
ERRFI1,Errfi1
KCNK10,Kcnk10
TREM2,Trem2
TREM1,Trem1
SNTG1,Sntg1
SNTG2,Sntg2
GPR173,Gpr173
GPR85,Gpr85
GNG2,Gng2
GDAP1,Gdap1
DPM3,Dpm3
SOX18,Sox18
UNC93A,Unc93a
CYTL1,Cytl1
WNT4,Wnt4
HAO1,Hao1
TERF2IP,Terf2ip
SLC38A2,Slc38a2
NLGN3,Nlgn3
SIAE,Siae
DNAJC10,Dnajc10
YIPF1,Yipf1
GAR1,Gar1
SSH1,Ssh1
SH3TC1,Sh3tc1
SEMA5B,Sema5b
GFOD1,Gfod1
RBM27,Rbm27
SASH3,Sash3
KCTD5,Kctd5
ANLN,Anln
RIN2,Rin2
ATAD2B,Atad2b
FBXO42,Fbxo42
MOV10L1,Mov10l1
TAF7L,Taf7l
PRR13,Prr13
MRPS21,Mrps21
FBXW5,Fbxw5
CCSER2,Ccser2
RETREG1,Retreg1
XRN1,Xrn1
ETAA1,Etaa1
ANKIB1,Ankib1
MIOS,Mios
ZFAND6,Zfand6
MIEF1,Mief1
TOLLIP,Tollip
KRT20,Krt20
NLE1,Nle1
RNF216,Rnf216
PLEKHA5,Plekha5
PIMREG,Pimreg
CHPF2,Chpf2
TRMT13,Trmt13
DGCR8,Dgcr8
OTULINL,Otulinl
NEURL1B,Neurl1b
C11orf71,C8h11orf71
TMX3,Tmx3
PRMT7,Prmt7
HEATR5B,Heatr5b
SMOX,Smox
TMCO1,Tmco1
RBM47,Rbm47
ZDHHC13,Zdhhc13
CPVL,Cpvl
DHX29,Dhx29
ADAMTSL4,Adamtsl4
RHOF,Rhof
PCDH18,Pcdh18
HMGCLL1,Hmgcll1
EXOSC4,Exosc4
DDX4,Ddx4
MTRF1L,Mtrf1l
PUS7,Pus7
APBB1IP,Apbb1ip
CCDC93,Ccdc93
WDR44,Wdr44
ANKRD16,Ankrd16
ASNSD1,Asnsd1
MIER2,Mier2
USP53,Usp53
MRPL50,Mrpl50
CCHCR1,Cchcr1
EXOC6,Exoc6
SHLD2,Shld2
ROBO4,Robo4
NDUFB11,Ndufb11
FAM193B,Fam193b
DDIT4,Ddit4
RC3H2,Rc3h2
TOMM7,Tomm7
CRCT1,Crct1
MTMR12,Mtmr12
RNF186,Rnf186
SDK2,Sdk2
NECAB2,Necab2
MAGEL2,Magel2
GNL3L,Gnl3l
WDR5B,Wdr5b
DDX49,Ddx49
ING3,Ing3
SGTB,Sgtb
SPATA6,Spata6
EPB41L4B,Epb41l4b
DLL4,Dll4
UGT1A2P,Ugt1a2
EGLN1,Egln1
GNB1L,Gnb1l
LZTFL1,Lztfl1
EQTN,Eqtn
MXRA8,Mxra8
L1TD1,L1td1
NDFIP2,Ndfip2
DDX56,Ddx56
INO80,Ino80
CCNJ,Ccnj
FBXL19,Fbxl19
VSIG10,Vsig10
ARL15,Arl15
PAF1,Paf1
PARP14,Parp14
HES2,Hes2
MAP10,Map10
MINDY2,Mindy2
UGT1A1,Ugt1a1
TBC1D13,Tbc1d13
WDR74,Wdr74
TMEM106B,Tmem106b
RSBN1,Rsbn1
LRRN3,Lrrn3
CRLS1,Crls1
GTPBP2,Gtpbp2
CROT,Crot
ZNHIT6,Znhit6
P4HTM,P4htm
MANSC1,Mansc1
RRN3,Rrn3
PDP1,Pdp1
GPN2,Gpn2
MARCHF5,Marchf5
CNGB3,Cngb3
RBFOX1,Rbfox1
SLC6A20,Slc6a20a
OTUD4,Otud4
NKX1-1,Nkx1-1
TMED9,Tmed9
SLC35F2,Slc35f2
RAB39A,Rab39a
MPHOSPH8,Mphosph8
FEV,Fev
XAF1,Xaf1
LEPROT,Leprot
LY6K,Ly6k
EPDR1,Epdr1
FBLIM1,Fblim1
FNDC8,Fndc8
ZNF853,Zfp853
NUTM2F,Nutm2
IL17RD,Il17rd
FAM20A,Fam20a
KLHDC4,Klhdc4
PCSK4,Pcsk4
GRAMD1C,Gramd1c
ROPN1,Ropn1
ZRANB1,Zranb1
TRIM44,Trim44
BTG4,Btg4
HYDIN,Hydin
DIRAS2,Diras2
PPP1R12C,Ppp1r12c
CFAP46,Cfap46
RNF111,Rnf111
NSMCE4A,Nsmce4a
ALKBH4,Alkbh4
BORCS6,Borcs6
DNAJB12,Dnajb12
TET2,Tet2
KCTD9,Kctd9
TRPM4,Trpm4
BNC2,Bnc2
MED18,Med18
DCHS2,Dchs2
MBTD1,Mbtd1
KLHL24,Klhl24
HAUS6,Haus6
TRIT1,Trit1
CNNM2,Cnnm2
AHI1,Ahi1
DYM,Dym
SAMD9,Samd9
GIPC2,Gipc2
AFTPH,Aftph
KLHL28,Klhl28
QPCTL,Qpctl
GATAD2A,Gatad2a
ZNF280D,Zfp280d
ZCCHC10,Zcchc10
NDE1,Nde1
ERCC6L,Ercc6l
TRPM7,Trpm7
SWT1,Swt1
CDHR2,Cdhr2
GIN1,Gin1
NXPE4,Nxpe4
BCAS3,Bcas3
ASPN,Aspn
NUP62CL,Nup62cl
BEST2,Best2
VPS13C,Vps13c
GDAP2,Gdap2
BSPRY,Bspry
WBP1L,Wbp1l
LRRC49,Lrrc49
APTX,Aptx
BIVM,Bivm
MFSD6,Mfsd6
SYTL2,Sytl2
ESRP1,Esrp1
SIDT1,Sidt1
ARHGEF38,Arhgef38
DEF8,Def8
FBXL12,Fbxl12
ANKRD49,Ankrd49
PAQR5,Paqr5
WDR55,Wdr55
FAM83E,Fam83e
TENT5C,Tent5c
GON4L,Gon4l
GDPD2,Gdpd2
PGPEP1,Pgpep1
ELP6,Elp6
MS4A12,Ms4a12
SNRK,Snrk
CC2D1A,Cc2d1a
TOR4A,Tor4a
GPATCH4,Gpatch4
PPP1R14D,Ppp1r14d
TMEM214,Tmem214
TMEM104,Tmem104
EPS8L1,Eps8l1
QRICH1,Qrich1
PIGG,Pigg
PALMD,Palmd
FNBP1L,Fnbp1l
CNTLN,Cntln
ZCCHC2,Zcchc2
DPP8,Dpp8
ST7L,St7l
BCOR,Bcor
TEX10,Tex10
ANKHD1,Ankhd1
CWC25,Cwc25
RETSAT,Retsat
TBC1D8B,Tbc1d8b
PLPPR1,Plppr1
BLTP3A,Bltp3a
NSUN2,Nsun2
ALKBH5,Alkbh5
INO80D,Ino80d
NCAPG2,Ncapg2
MTMR10,Mtmr10
RNF43,Rnf43
SLC66A1,Slc66a1
CASZ1,Casz1
ELOVL2,Elovl2
PXK,Pxk
LAX1,Lax1
CDKAL1,Cdkal1
TTC19,Ttc19
MKS1,Mks1
NSD3,Nsd3
CYP2W1,Cyp2w1
TASOR2,Tasor2
SPDL1,Spdl1
SEMA4C,Sema4c
RPP25,Rpp25
FOCAD,Focad
YTHDF1,Ythdf1
TMEM260,Tmem260
CMTM6,Cmtm6
DNAAF5,Dnaaf5
DUS2,Dus2
CHTF8,Chtf8
RASIP1,Rasip1
LIME1,Lime1
UBE2R2,Ube2r2
CHCHD3,Chchd3
BPNT2,Bpnt2
TMEM161A,Tmem161a
HAUS4,Haus4
TRMT10C,Trmt10c
RHBDL2,Rhbdl2
KANSL2,Kansl2
DUSP23,Dusp23
ADPRS,Adprs
SOHLH2,Sohlh2
SARS2,Sars2
COMMD4,Commd4
OCIAD1,Ociad1
RNF125,Rnf125
ABITRAM,Abitram
DNAJC28,Dnajc28
SLC41A3,Slc41a3
LPCAT2,Lpcat2
MRPL16,Mrpl16
SDHAF2,Sdhaf2
COMMD8,Commd8
TRNAU1AP,Trnau1ap
ODR4,Odr4
FAM120C,Fam120c
AIRIM,Airim
PARP16,Parp16
TXNL4B,Txnl4b
TMEM160,Tmem160
ODAM,Odam
GEMIN8,Gemin8
SSH3,Ssh3
TIPIN,Tipin
UCKL1,Uckl1
C1orf56,C2h1orf56
PIGX,Pigx
TMEM70,Tmem70
HPF1,Hpf1
TTC12,Ttc12
BANP,Banp
TMEM132A,Tmem132a
INTS11,Ints11
THG1L,Thg1l
ADISSP,Adissp
SLC25A38,Slc25a38
SLC35F6,Slc35f6
C2orf42,C4h2orf42
NMRK1,Nmrk1
CLN6,Cln6
PINX1,Pinx1
HCFC1R1,Hcfc1r1
ULK4,Ulk4
CZIB,Czib
ACSM5,Acsm5
ZNF770,Zfp770
C1orf159,C5h1orf159
ZSCAN2,Zscan2
GID8,Gid8
OXSM,Oxsm
MTARC2,Mtarc2
TESC,Tesc
AURKAIP1,Aurkaip1
TUG1,Tug1
TTC22,Ttc22
TMCO3,Tmco3
PAK1IP1,Pak1ip1
LAMTOR1,Lamtor1
RMND1,Rmnd1
FAM118A,Fam118a
HERC6,Herc6
FAM174C,Fam174c
PARPBP,Parpbp
PIH1D1,Pih1d1
PPP2R3C,Ppp2r3c
MCUB,Mcub
STX17,Stx17
PRPF39,Prpf39
MARCHF1,Marchf1
C14orf119,C15h14orf119
ANKRD40CL,Ankrd40cl
TTC38,Ttc38
PID1,Pid1
PHIP,Phip
BANK1,Bank1
TMEM255A,Tmem255a
HEATR3,Heatr3
MTNAP1,Mtnap1
FBXO34,Fbxo34
USP47,Usp47
SLC35A5,Slc35a5
FKBP14,Fkbp14
MOCOS,Mocos
NOL8,Nol8
CCDC40,Ccdc40
PTCD3,Ptcd3
CDCA4,Cdca4
TRMT12,Trmt12
EPN3,Epn3
PLEKHB2,Plekhb2
VPS37C,Vps37c
REX1BD,Rex1bd
NRDE2,Nrde2
MRPL20,Mrpl20
ATG16L1,Atg16l1
ZWILCH,Zwilch
CRYBG2,Crybg2
SUSD4,Susd4
WIPI1,Wipi1
ZCWPW1,Zcwpw1
SPATA6L,Spata6l
PDPR,Pdpr
ENOX1,Enox1
TMEM248,Tmem248
DET1,Det1
C9orf40,C1h9orf40
RNF31,Rnf31
OXR1,Oxr1
UACA,Uaca
TMEM45A,Tmem45a
FEZF2,Fezf2
TAPBPL,Tapbpl
IFT57,Ift57
ARGLU1,Arglu1
KIF26B,Kif26b
SOBP,Sobp
RADX,Radx
CCDC186,Ccdc186
SLC38A4,Slc38a4
MED9,Med9
TMEM51,Tmem51
NTAQ1,Ntaq1
GPATCH1,Gpatch1
SAMD4B,Samd4b
WDR70,Wdr70
DMAC2,Dmac2
ATG2B,Atg2b
RALGPS2,Ralgps2
GPATCH2,Gpatch2
ANO1,Ano1
BSDC1,Bsdc1
AGGF1,Aggf1
MAGOHB,Magohb
PLEKHJ1,Plekhj1
DYNC2I1,Dync2i1
XKR8,Xkr8
ARHGAP17,Arhgap17
TMEM39B,Tmem39b
SLC6A15,Slc6a15
CRTAC1,Crtac1
PRPF38B,Prpf38b
FANCL,Fancl
AKIRIN2,Akirin2
PIWIL2,Piwil2
CEP192,Cep192
HEATR1,Heatr1
TRIM68,Trim68
ANO10,Ano10
ODAD2,Odad2
RBM28,Rbm28
LARP1B,Larp1b
SRBD1,Srbd1
WRAP53,Wrap53
FIGN,Fign
ANKZF1,Ankzf1
ELP3,Elp3
HAUS2,Haus2
CDCA8,Cdca8
LRRC8D,Lrrc8d
THAP1,Thap1
ZDHHC4,Zdhhc4
UBR7,Ubr7
MTPAP,Mtpap
TMEM38B,Tmem38b
DALRD3,Dalrd3
SDAD1,Sdad1
MSTO1,Msto1
ARMC1,Armc1
DARS2,Dars2
RFWD3,Rfwd3
ARHGEF10L,Arhgef10l
TMEM33,Tmem33
PNPO,Pnpo
SHQ1,Shq1
CEP55,Cep55
CENPQ,Cenpq
MSL2,Msl2
MRPS18A,Mrps18a
PRMT6,Prmt6
TBCCD1,Tbccd1
DNAAF2,Dnaaf2
MRPS10,Mrps10
INTS10,Ints10
KLHL11,Klhl11
SEC61A2,Sec61a2
RMDN3,Rmdn3
MRM3,Mrm3
LINS1,Lins1
SMG8,Smg8
RNF220,Rnf220
RIF1,Rif1
DZANK1,Dzank1
SLC25A36,Slc25a36
VPS13D,Vps13d
RIC8B,Ric8b
NUDT11,Nudt11
NADSYN1,Nadsyn1
DNAJC17,Dnajc17
PBRM1,Pbrm1
EVA1B,Eva1b
CCDC198,Ccdc198
RESF1,Resf1
RPRD1A,Rprd1a
APPL2,Appl2
PLEKHG6,Plekhg6
MAP1S,Map1s
LGI2,Lgi2
GOLPH3L,Golph3l
ZNF532,Zfp532
SBNO1,Sbno1
ARL8B,Arl8b
DCUN1D2,Dcun1d2
SETD5,Setd5
ATAD3A,Atad3a
DPPA4,Dppa4
BBS7,Bbs7
RCBTB1,Rcbtb1
P3H2,P3h2
FANCI,Fanci
NKAPD1,Nkapd1
TMLHE,Tmlhe
EXD2,Exd2
MACO1,Maco1
KLHDC8A,Klhdc8a
LRRC20,Lrrc20
TRIM62,Trim62
ETNK2,Etnk2
RAVER2,Raver2
NAT10,Nat10
LRRC1,Lrrc1
PNMA8A,Pnma8a
PANK4,Pank4
USP40,Usp40
CCDC87,Ccdc87
MOB1A,Mob1a
SMU1,Smu1
UBA6,Uba6
VRTN,Vrtn
SLC38A7,Slc38a7
OGFOD1,Ogfod1
STEAP3,Steap3
KIRREL1,Kirrel1
UQCC1,Uqcc1
CCDC25,Ccdc25
NEIL3,Neil3
PACC1,Pacc1
ELP2,Elp2
PCMTD2,Pcmtd2
ASXL2,Asxl2
TYW1,Tyw1
TMEM39A,Tmem39a
WDR41,Wdr41
ADI1,Adi1
MRGBP,Mrgbp
THNSL2,Thnsl2
DNAI7,Dnai7
TMEM143,Tmem143
TRAPPC14,Trappc14
TMEM19,Tmem19
ECHDC2,Echdc2
PSPC1,Pspc1
NUDT15,Nudt15
IMP3,Imp3
TMEM100,Tmem100
PHF10,Phf10
VPS53,Vps53
PGM2,Pgm2
FGGY,Fggy
QRSL1,Qrsl1
ZNF654,Zfp654
CWF19L1,Cwf19l1
TMEM140,Tmem140
LRRC36,Lrrc36
MCOLN3,Mcoln3
UBE2W,Ube2w
RBM41,Rbm41
PGCKA1,Pgcka1
TMEM40,Tmem40
RHOT1,Rhot1
ACOXL,Acoxl
BRF2,Brf2
PPP6R3,Ppp6r3
UEVLD,Uevld
FBXW7,Fbxw7
KLHL26,Klhl26
TBC1D19,Tbc1d19
CCDC91,Ccdc91
RNF121,Rnf121
BRIX1,Brix1
PI4K2B,Pi4k2b
OLAH,Olah
GIMAP4,Gimap4
SPTLC3,Sptlc3
DDX19A,Ddx19a
ZNF444,Zfp444
RFK,Rfk
CPPED1,Cpped1
TMEM144,Tmem144
SLC29A3,Slc29a3
RSAD1,Rsad1
AP5S1,Ap5s1
TMA16,Tma16
MIS18BP1,Mis18bp1
TMEM74B,Tmem74b
C5orf22,C2h5orf22
LARP6,Larp6
ABCF3,Abcf3
UFSP2,Ufsp2
AGPAT5,Agpat5
LIN7C,Lin7c
RNLS,Rnls
MNS1,Mns1
BLOC1S4,Bloc1s4
ACER3,Acer3
DRAM1,Dram1
SYNJ2BP,Synj2bp
SLC39A9,Slc39a9
FBXL8,Fbxl8
SHFL,Shfl
WDR33,Wdr33
GIMAP5,Gimap5
LSG1,Lsg1
STRBP,Strbp
SLC35C1,Slc35c1
PLCXD1,Plcxd1
ZGRF1,Zgrf1
TCP11L1,Tcp11l1
ABHD10,Abhd10
CHDH,Chdh
STK32B,Stk32b
LAPTM4B,Laptm4b
HJURP,Hjurp
SLC22A15,Slc22a15
TBC1D2,Tbc1d2
STYK1,Styk1
PI4K2A,Pi4k2a
TMEM63B,Tmem63b
HEMGN,Hemgn
IMPACT,Impact
TMEM176A,Tmem176a
LGR4,Lgr4
PIDD1,Pidd1
TMCO6,Tmco6
LRRC59,Lrrc59
MCM10,Mcm10
NCBP3,Ncbp3
GPALPP1,Gpalpp1
YOD1,Yod1
AP1AR,Ap1ar
STRADB,Stradb
CAMK2N1,Camk2n1
CSGALNACT2,Csgalnact2
DNAJA4,Dnaja4
NDUFAF7,Ndufaf7
PARL,Parl
ETNK1,Etnk1
CHST12,Chst12
HES6,Hes6
TRPV6,Trpv6
TNFRSF19,Tnfrsf19
NOP10,Nop10
MACROH2A2,Macroh2a2
GPRC5D,Gprc5d
SLC35E3,Slc35e3
BATF3,Batf3
DDX43,Ddx43
SMPD3,Smpd3
ASIC4,Asic4
ELAC1,Elac1
TRIM36,Trim36
DHTKD1,Dhtkd1
FEM1A,Fem1a
PIP4P2,Pip4p2
SVOP,Svop
ELMOD1,Elmod1
SLC30A10,Slc30a10
MAML3,Maml3
CDCA7L,Cdca7l
IL17RB,Il17rb
RBM38,Rbm38
SOX6,Sox6
PLXNA3,Plxna3
HAUS7,Haus7
CDC42BPG,Cdc42bpg
ZNF821,Zfp821
DNAH3,Dnah3
GALNT10,Galnt10
CNOT11,Cnot11
FOXRED1,Foxred1
CDV3,Cdv3
STAB2,Stab2
NAGK,Nagk
SUPT20H,Supt20h
KIF27,Kif27
CHRNA9,Chrna9
UBE2Q1,Ube2q1
MIOX,Miox
MED29,Med29
BMP2K,Bmp2k
VEZT,Vezt
OTUD5,Otud5
ZCCHC8,Zcchc8
RNPC3,Rnpc3
ITLN1,Itln1
CDKN2AIP,Cdkn2aip
TENT5A,Tent5a
CARMIL1,Carmil1
KIF21A,Kif21a
PPP1R9A,Ppp1r9a
ANKRD10,Ankrd10
ZNF280C,Zfp280c
VPS50,Vps50
OTUB1,Otub1
FERMT1,Fermt1
KIF16B,Kif16b
PRR5,Prr5
ASAP3,Asap3
TASP1,Tasp1
DOCK10,Dock10
STAP2,Stap2
TRMT1,Trmt1
TTC27,Ttc27
THUMPD1,Thumpd1
POMGNT1,Pomgnt1
ZDHHC7,Zdhhc7
AMBRA1,Ambra1
SMPD4,Smpd4
ZNF407,Zfp407
PNRC2,Pnrc2
SLC39A4,Slc39a4
LRRC40,Lrrc40
G2E3,G2e3
TBC1D22B,Tbc1d22b
DEPDC1,Depdc1
CHD7,Chd7
SYBU,Sybu
FLVCR2,Flvcr2
BTBD2,Btbd2
OSGEP,Osgep
LYAR,Lyar
RAB20,Rab20
PIGV,Pigv
NHP2,Nhp2
SLC48A1,Slc48a1
TMEM127,Tmem127
NLRP2,Nlrp2
INTS8,Ints8
ZNF692,Zfp692
RNF126,Rnf126
PRPF40A,Prpf40a
DDX27,Ddx27
HIF1AN,Hif1an
ZNF446,Zfp446
CDC37L1,Cdc37l1
URGCP,Urgcp
NPLOC4,Nploc4
DENND4C,Dennd4c
GPATCH2L,Gpatch2l
MFN1,Mfn1
PEX26,Pex26
PPP4R3A,Ppp4r3a
SLC30A6,Slc30a6
IWS1,Iws1
LIMS2,Lims2
RUFY2,Rufy2
SCYL2,Scyl2
KANSL3,Kansl3
RABL6,Rabl6
MREG,Mreg
TRMU,Trmu
YEATS2,Yeats2
PACS1,Pacs1
FRMD4A,Frmd4a
LUC7L,Luc7l
KDM4D,Kdm4d
NSUN5,Nsun5
RBM22,Rbm22
VAC14,Vac14
RADIL,Radil
IARS2,Iars2
MAP7D1,Map7d1
ARHGEF40,Arhgef40
YJU2,Yju2
POLR3B,Polr3b
CCDC88A,Ccdc88a
IPO9,Ipo9
NDC1,Ndc1
NECAP2,Necap2
